source,target, weatherStationId,commsIssuesFlag,createdAt,dataIssuesFlag,dlfLossFactor,generationWatt,latitude,longitude,mlfLossFactor,nearestBomStationId,nextProcessDueAt,nodeType,performanceSinceInceptionSortKey,pvSizeWatt,timezone
SITE|d72144b0-2fe4-4470-a7d3-c13b0c745a04,SITE|d72144b0-2fe4-4470-a7d3-c13b0c745a04,,FALSE,2023-06-15T00:20:15.707060Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009172,2023-07-17T16:43:10.820524+00:00,SITE,128,5000,Australia/Perth
SITE|ab8c5a12-7b2d-4b86-b5ae-0310002ebb9a,SITE|ab8c5a12-7b2d-4b86-b5ae-0310002ebb9a,,FALSE,2023-06-29T00:43:59.405947Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,,SITE,,3000,Australia/Perth
SITE|f35c6dee-202d-4951-a77c-ab23bf9526f5,SITE|f35c6dee-202d-4951-a77c-ab23bf9526f5,,FALSE,2023-03-24T01:33:04.060822Z,FALSE,,,-26.4390917,133.281323,,au.bom.site.066194,,SITE,,0,Australia/Sydney
SITE|eacd40cc-a955-4d9f-a3b6-e733f6927886,SITE|eacd40cc-a955-4d9f-a3b6-e733f6927886,,,2022-06-20T02:52:32.535566Z,,1,0,-26.4390917,133.281323,1,au.bom.site.066214,2023-06-26T09:43:47.239653+00:00,SITE,44,11750,Australia/Sydney
SITE|51d0f11d-55ff-4e64-bc97-52f817801546,SITE|51d0f11d-55ff-4e64-bc97-52f817801546,,,2022-10-11T05:03:10.857233Z,,1,0,-26.4390917,133.281323,1,au.bom.site.056243,2023-01-31T02:39:49.017865+00:00,SITE,91,39560,Australia/Sydney
SITE|1b0e5fbb-d1af-4e35-abae-8508cdbaf493,SITE|1b0e5fbb-d1af-4e35-abae-8508cdbaf493,,FALSE,2023-06-19T06:14:48.783577Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009603,2023-07-28T09:21:25.616150+00:00,SITE,,10000,Australia/Perth
SITE|0db188ea-57e8-44ca-b793-9c1843a30cdf,SITE|0db188ea-57e8-44ca-b793-9c1843a30cdf,,FALSE,2023-06-12T23:33:27.112138Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,2023-07-16T16:39:33.560789+00:00,SITE,,16400,Australia/Perth
SITE|4d6e6c92-abf7-4533-b781-4f09a430d747,SITE|4d6e6c92-abf7-4533-b781-4f09a430d747,,FALSE,2023-06-23T00:47:20.116824Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009965,,SITE,,30000,Australia/Perth
SITE|7c9f347d-29cf-4fa7-9dec-edccbefc90a4,SITE|7c9f347d-29cf-4fa7-9dec-edccbefc90a4,,FALSE,2023-06-15T02:56:29.588481Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009256,2023-07-19T16:01:26.091594+00:00,SITE,,8200,Australia/Perth
SITE|1b03c628-5d4c-4b86-a7d2-93f6d15b1a81,SITE|1b03c628-5d4c-4b86-a7d2-93f6d15b1a81,,,2022-02-09T01:06:48.322841Z,,,0,-26.4390917,133.281323,,au.bom.site.061055,2023-07-28T07:41:22.921091+00:00,SITE,78,25600,Australia/Sydney
SITE|9f7ab916-4f17-4f42-b15e-1ac7170886a3,SITE|9f7ab916-4f17-4f42-b15e-1ac7170886a3,,FALSE,2023-06-15T01:07:23.682951Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.066161,2023-07-18T13:44:16.957636+00:00,SITE,96,81000,Australia/Sydney
SITE|6ab0ec0b-8d13-46b6-bb60-7546ccde764e,SITE|6ab0ec0b-8d13-46b6-bb60-7546ccde764e,,FALSE,2023-06-29T04:08:56.783900Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,,SITE,,17500,Australia/Perth
SITE|0ddc7807-d51c-4b5c-bc65-44458b41f474,SITE|0ddc7807-d51c-4b5c-bc65-44458b41f474,,FALSE,2023-06-29T02:27:13.997867Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009204,,SITE,,18200,Australia/Perth
SITE|2ba8b129-a886-4505-bbb4-b45c18e4c0a3,SITE|2ba8b129-a886-4505-bbb4-b45c18e4c0a3,,FALSE,2023-06-29T02:28:16.224430Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009204,,SITE,,24960,Australia/Perth
SITE|ba6c8040-c5d4-48ec-a28d-dae67d9b545c,SITE|ba6c8040-c5d4-48ec-a28d-dae67d9b545c,,FALSE,2023-06-14T23:12:04.028598Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009172,2023-07-17T13:42:40.048077+00:00,SITE,100,12500,Australia/Perth
SITE|d16f3755-811d-4e08-80af-4237c7c27d38,SITE|d16f3755-811d-4e08-80af-4237c7c27d38,,FALSE,2023-06-15T04:47:56.187581Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009021,2023-07-18T17:45:21.915520+00:00,SITE,37,100000,Australia/Perth
SITE|6f655156-ce46-454f-9aa6-e5daf78147f2,SITE|6f655156-ce46-454f-9aa6-e5daf78147f2,,FALSE,2023-06-27T06:44:05.207763Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,,SITE,,17500,Australia/Perth
SITE|48ccbafd-843e-4d57-ace5-a9843f6c6836,SITE|48ccbafd-843e-4d57-ace5-a9843f6c6836,,FALSE,2023-06-29T04:22:11.640346Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,,SITE,,10000,Australia/Perth
SITE|286d9b95-60bf-40ea-ab9e-7eaebf4d7e2a,SITE|286d9b95-60bf-40ea-ab9e-7eaebf4d7e2a,,FALSE,2023-06-15T02:47:47.256858Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009215,2023-07-18T16:45:51.445201+00:00,SITE,123,80000,Australia/Perth
